Rk,Player,Pos,PER,TS%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM
1,Precious Achiuwa\achiupr01,PF,14.2,550,16.1,6.1,1.3,4.0,13.5,19.5,1.3,-4.5
2,Jaylen Adams\adamsja01,PG,-6.5,125,8.8,12.7,0.0,0.0,0.0,18.6,-0.1,-19.8
3,Steven Adams\adamsst01,C,15.1,596,17.4,9.1,1.6,2.2,17.5,11.7,4.0,-0.8
4,Bam Adebayo\adebaba01,C,22.7,626,15.3,26.9,1.7,3.2,15.0,23.7,8.8,4.7
5,LaMarcus Aldridge\aldrila01,C,15.7,556,9.4,11.0,0.8,3.7,7.9,22.2,1.1,-0.6
5,LaMarcus Aldridge\aldrila01,C,15.1,545,9.2,10.2,0.7,2.8,7.0,22.7,0.8,-1.2
5,LaMarcus Aldridge\aldrila01,C,18.2,611,10.2,14.3,1.1,7.4,11.8,19.9,0.4,1.7
6,Ty-Shon Alexander\alexaty01,SG,4.2,349,12.1,15.4,0.0,1.9,18.9,15.0,0.0,-6.8
7,Nickeil Alexander-Walker\alexani01,SG,12.5,522,7.8,14.7,2.2,2.1,12.4,23.2,0.7,-1.6
8,Grayson Allen\allengr01,SG,12.8,586,6.7,11.5,1.7,0.6,9.6,16.8,2.7,-0.5
9,Jarrett Allen\allenja01,C,20.1,661,18.9,8.7,0.8,4.3,14.1,16.6,6.4,0.9
9,Jarrett Allen\allenja01,C,21.5,730,21.6,8.3,1.1,5.2,19.3,15.5,1.4,1.9
9,Jarrett Allen\allenja01,C,19.8,649,18.3,8.8,0.8,4.1,13.1,16.8,5.0,0.7
10,Al-Farouq Aminu\aminual01,PF,8.9,469,13.3,10.1,2.1,1.9,20.5,13.6,0.1,-4.0
10,Al-Farouq Aminu\aminual01,PF,9.9,482,12.9,11.3,2.3,2.2,20.6,14.3,0.1,-3.3
10,Al-Farouq Aminu\aminual01,PF,3.0,369,15.7,3.5,1.4,0.0,19.7,9.8,0.0,-7.9
11,Kyle Anderson\anderky01,PF,17.2,578,11.1,18.3,2.1,2.7,10.4,18.5,5.6,3.1
12,Giannis Antetokounmpo\antetgi01,PF,29.2,633,17.5,28.7,1.7,3.2,13.2,32.5,10.2,8.8
13,Kostas Antetokounmpo\antetko01,PF,0.0,382,19.1,2.3,1.7,6.4,41.2,20.7,-0.2,-13.0
14,Thanasis Antetokounmpo\antetth01,SF,10.3,523,11.8,10.3,1.9,1.6,21.3,15.3,0.7,-3.9
15,Carmelo Anthony\anthoca01,PF,14.6,547,6.8,9.2,1.3,2.0,6.7,23.1,2.6,-1.5
16,Cole Anthony\anthoco01,PG,12.1,496,9.0,24.2,1.1,1.3,14.8,24.3,0.0,-3.3
17,OG Anunoby\anunoog01,SF,15.4,605,9.1,10.1,2.2,2.2,11.7,19.3,3.1,1.0
18,Ryan Arcidiacono\arcidry01,PG,9.8,541,8.3,16.3,1.0,0.0,7.4,13.1,0.9,-2.5
19,Trevor Ariza\arizatr01,SF,11.9,542,9.8,9.4,1.8,2.2,7.5,15.1,1.6,-1.3
20,D.J. Augustin\augusdj01,PG,12.1,570,4.4,22.2,1.2,0.1,14.5,16.8,2.1,-2.1
20,D.J. Augustin\augusdj01,PG,10.2,542,3.7,18.6,1.3,0.1,14.0,14.3,1.2,-2.1
20,D.J. Augustin\augusdj01,PG,15.5,604,5.6,28.3,0.9,0.0,15.1,21.0,0.9,-2.2
21,Deni Avdija\avdijde01,SF,7.6,515,11.0,6.3,1.2,1.0,9.0,12.0,1.2,-3.9
22,Deandre Ayton\aytonde01,C,20.3,653,19.5,6.8,1.0,3.4,11.9,18.2,8.4,0.9
23,Udoka Azubuike\azubuud01,C,10.3,597,12.1,0.0,0.9,5.7,18.3,12.4,0.1,-4.9
24,Dwayne Bacon\bacondw01,SG,9.9,490,6.3,7.9,1.2,0.2,5.4,19.8,0.5,-5.1
25,Marvin Bagley III\baglema01,PF,16.3,554,15.9,5.8,0.9,1.6,9.7,23.5,1.4,-3.4
26,LaMelo Ball\ballla01,PG,17.5,539,11.1,33.9,2.7,1.2,16.3,26.1,2.8,1.9
27,Lonzo Ball\balllo01,PG,15.2,551,8.2,25.4,2.3,1.7,14.5,20.5,3.2,1.6
28,Mo Bamba\bambamo01,C,19.3,556,19.0,8.1,0.9,7.3,9.8,21.8,1.8,0.0
29,Desmond Bane\banede01,SG,12.2,600,7.3,10.6,1.3,0.9,10.2,16.1,2.9,-1.0
30,Harrison Barnes\barneha02,PF,15.4,626,10.2,13.0,1.0,0.4,11.1,17.2,4.5,-0.2
31,RJ Barrett\barrerj01,SG,13.4,535,8.9,13.8,1.1,0.8,10.5,23.4,4.1,-1.5
32,Will Barton\bartowi01,SF,11.8,538,7.4,14.1,1.4,1.3,12.7,19.0,2.2,-2.0
33,Keita Bates-Diop\bateske01,SF,12.0,518,10.6,6.6,2.2,1.7,8.4,14.8,0.3,-2.0
34,Nicolas Batum\batumni01,SF,12.9,617,9.7,10.5,1.9,1.8,10.8,11.8,5.0,1.4
35,Aron Baynes\baynear01,C,10.5,503,15.3,7.0,0.8,2.3,12.5,16.2,1.0,-4.7
36,Kent Bazemore\bazemke01,SF,10.6,564,9.1,11.1,2.4,2.2,16.1,16.3,1.8,-1.7
37,Darius Bazley\bazleda01,PF,9.7,491,12.0,8.9,0.8,1.3,13.7,22.1,-0.9,-4.4
38,Bradley Beal\bealbr01,SG,22.7,593,7.0,21.3,1.5,0.9,10.6,34.1,5.9,3.2
39,Malik Beasley\beaslma01,SG,14.6,570,7.2,11.6,1.2,0.5,8.6,24.0,1.3,-0.6
40,Jordan Bell\belljo01,C,8.0,328,15.5,10.6,1.7,5.2,14.9,13.6,0.0,-5.6
40,Jordan Bell\belljo01,C,8.5,350,15.0,9.5,2.1,3.7,13.0,14.2,0.0,-5.5
40,Jordan Bell\belljo01,C,5.6,174,17.7,15.5,0.0,11.8,25.8,11.1,0.0,-5.7
41,DeAndre' Bembry\bembrde01,SF,11.2,570,8.3,15.6,2.6,1.9,21.6,14.6,1.2,-2.1
42,Dāvis Bertāns\bertada01,PF,11.4,620,6.1,4.4,1.0,0.7,5.9,15.9,3.1,-1.0
43,Patrick Beverley\beverpa01,PG,12.0,580,8.0,12.0,1.7,3.0,12.4,14.6,2.1,0.0
44,Saddiq Bey\beysa01,SF,12.6,567,9.3,7.6,1.3,0.6,7.4,18.7,3.3,-0.8
45,Tyler Bey\beyty01,SF,5.9,372,14.7,5.6,0.0,1.3,11.0,16.9,0.0,-9.6
46,Khem Birch\birchkh01,C,15.1,552,13.4,8.5,1.5,3.1,9.2,13.6,3.8,-1.3
46,Khem Birch\birchkh01,C,14.1,517,13.2,8.0,1.6,2.7,8.5,12.2,2.1,-2.2
46,Khem Birch\birchkh01,C,16.8,596,13.7,9.4,1.3,3.8,9.9,15.8,1.7,0.1
47,Goga Bitadze\bitadgo01,C,16.3,523,14.5,8.9,0.8,8.7,7.1,18.1,1.5,-1.2
48,Bismack Biyombo\biyombi01,C,11.7,574,13.9,8.3,0.6,5.4,19.8,11.5,2.3,-3.3
49,Nemanja Bjelica\bjeline01,PF,12.9,554,11.9,16.2,1.2,0.8,13.1,18.4,0.9,-2.5
49,Nemanja Bjelica\bjeline01,PF,12.7,555,12.6,15.3,0.9,0.4,14.3,19.3,0.5,-3.0
49,Nemanja Bjelica\bjeline01,PF,13.3,550,9.9,18.7,2.2,2.0,9.1,15.9,0.4,-1.2
50,Eric Bledsoe\bledser01,SG,11.5,533,6.3,17.3,1.2,1.1,12.3,18.5,2.3,-2.3
51,Keljin Blevins\blevike01,SF,-0.9,300,7.1,6.7,1.3,0.0,20.0,14.3,-0.2,-12.0
52,Bogdan Bogdanović\bogdabo01,SG,17.6,616,6.7,17.6,1.8,0.9,8.5,21.3,3.9,3.8
53,Bojan Bogdanović\bogdabo02,SF,14.0,588,6.7,9.1,1.0,0.1,10.9,22.8,5.2,-0.8
54,Bol Bol\bolbo01,PF,9.4,534,8.5,6.0,0.9,6.1,16.8,21.2,0.0,-4.4
55,Marques Bolden\boldema01,C,13.3,537,11.6,0.0,3.4,6.1,23.5,12.8,0.0,-2.8
56,Jordan Bone\bonejo01,PG,8.9,519,6.4,13.6,0.5,0.0,5.3,12.6,0.2,-4.2
57,Isaac Bonga\bongais01,SF,4.0,461,8.1,6.5,1.2,1.7,20.7,10.2,0.0,-6.4
58,Devin Booker\bookede01,SG,19.2,587,7.0,20.6,1.2,0.6,12.4,32.7,4.9,-0.1
59,Chris Boucher\bouchch01,C,21.9,634,15.3,6.9,1.2,7.6,6.7,20.5,6.1,2.9
60,Brian Bowen\bowenbr02,SF,1.0,338,10.8,0.0,0.0,0.0,0.0,12.6,0.0,-11.5
61,Avery Bradley\bradlav01,SG,6.3,487,5.2,10.8,1.7,0.5,13.6,14.9,-0.1,-5.7
61,Avery Bradley\bradlav01,SG,10.4,607,4.9,10.0,1.6,0.5,11.4,16.9,0.3,-3.2
61,Avery Bradley\bradlav01,SG,4.0,409,5.3,11.2,1.7,0.5,15.0,13.8,-0.4,-7.0
62,Tony Bradley\bradlto01,C,20.7,678,18.6,8.5,1.0,3.9,13.0,15.8,2.7,1.2
62,Tony Bradley\bradlto01,C,21.1,683,19.9,8.7,1.0,4.1,7.0,12.9,1.5,3.1
62,Tony Bradley\bradlto01,C,20.4,676,17.7,8.3,1.1,3.8,16.0,18.0,1.3,-0.1
63,Jarrell Brantley\brantja01,PF,16.6,605,10.4,16.1,2.5,1.2,13.1,19.0,0.5,2.1
64,Ignas Brazdeikis\brazdig01,SF,9.5,510,9.4,10.5,0.8,1.1,11.9,17.6,0.1,-5.7
64,Ignas Brazdeikis\brazdig01,SF,11.2,532,15.5,17.5,0.0,0.0,34.7,18.3,0.0,-4.8
64,Ignas Brazdeikis\brazdig01,SF,-12.0,0,13.8,0.0,0.0,0.0,0.0,16.1,-0.1,-23.2
64,Ignas Brazdeikis\brazdig01,SF,10.2,528,9.1,10.6,0.8,1.2,11.5,17.6,0.1,-5.1
65,Mikal Bridges\bridgmi01,SF,16.4,667,7.5,8.8,1.6,2.4,7.3,14.9,8.0,3.0
66,Miles Bridges\bridgmi02,PF,14.7,625,11.1,11.4,1.1,2.7,13.6,17.3,4.2,0.2
67,Amida Brimah\brimaam01,C,16.6,697,15.0,4.8,0.0,14.0,30.0,19.6,0.0,-4.0
68,Oshae Brissett\brissos01,SF,17.2,638,12.0,4.6,1.7,3.1,5.3,15.6,1.8,0.4
69,Malcolm Brogdon\brogdma01,PG,17.9,561,8.3,25.7,1.2,0.6,9.8,25.9,4.2,1.5
70,Armoni Brooks\brookar01,SG,10.4,565,7.0,8.7,1.1,0.9,10.0,17.9,0.3,-3.3
71,Dillon Brooks\brookdi01,SF,12.1,515,5.2,11.7,1.9,1.2,9.6,26.1,1.4,-3.9
72,Bruce Brown\brownbr01,PG,16.1,604,13.3,9.8,1.9,1.7,10.2,15.9,4.4,-0.3
73,Charlie Brown\brownch02,SG,4.1,422,5.8,8.2,1.3,1.2,11.2,14.9,-0.1,-8.9
74,Jaylen Brown\brownja02,SG,19.9,586,9.7,16.5,1.8,1.5,11.5,29.7,4.8,2.5
75,Moses Brown\brownmo01,C,18.8,572,21.6,1.7,1.6,4.5,11.7,16.9,2.6,-2.6
